cgpa,coding_score,aptitude_score,communication_score,skills_count,projects_count,internships_count,backlogs,placed
5.83,3,22,49,6,1,0,2,0
8.55,63,84,41,4,0,3,5,0
6.47,69,2,16,2,3,2,0,1
6.28,50,7,91,6,4,2,2,1
7.79,66,45,67,9,3,2,2,1
5.88,90,61,5,9,4,2,0,1
9.04,83,38,59,6,5,1,4,0
8.01,17,50,18,6,1,2,4,0
8.39,19,21,57,5,2,2,5,0
5.56,29,44,86,10,2,1,5,0
7.88,73,74,39,4,2,2,0,1
7.73,51,22,44,4,5,2,3,1
6.14,22,48,41,5,1,2,2,0
6.11,46,79,69,2,5,1,2,1
8.28,2,50,23,10,3,0,4,0
6.78,49,27,21,6,0,0,3,0
8.27,8,98,52,10,0,1,3,1
7.72,18,28,84,8,0,0,4,0
7.06,35,58,77,9,1,0,4,0
9.2,39,69,23,3,3,1,2,1
8.87,26,77,24,9,3,3,5,0
6.93,91,92,16,2,3,1,5,0
5.67,71,27,34,7,0,0,5,0
6.72,71,73,80,1,0,0,5,0
7.09,81,46,55,3,0,2,5,0
8.32,20,3,27,5,0,3,1,1
9.48,12,87,65,6,1,0,0,1
6.92,26,1,33,9,0,2,5,0
8.55,61,63,64,5,3,3,2,1
7.87,39,28,2,6,5,0,5,0
8.27,52,88,58,1,3,3,2,1
6.1,79,94,55,4,5,2,2,1
7.1,39,46,21,8,3,0,1,1
6.46,8,14,41,3,4,1,0,1
6.87,26,37,3,6,3,1,5,0
7.55,80,96,78,1,1,0,5,0
8.17,2,48,99,1,1,0,2,0
5.92,55,71,11,3,5,2,5,0
6.02,52,39,36,3,0,2,2,0
6.79,3,15,40,3,3,2,4,0
8.15,39,33,57,8,3,0,4,0
8.89,51,5,62,9,5,3,2,1
7.71,55,86,70,2,5,3,2,1
8.92,64,52,94,1,3,0,3,1
7.04,77,20,4,10,1,3,4,0
6.77,71,98,90,8,1,1,3,1
6.92,70,28,88,6,3,0,0,1
6.18,29,98,16,9,0,1,1,1
8.82,24,1,27,1,5,1,3,0
6.85,38,96,26,3,0,1,0,1
7.71,79,25,52,6,1,2,3,1
7.81,74,43,25,10,4,1,0,1
7.59,24,95,48,5,3,2,3,1
5.51,32,17,92,5,1,0,1,0
9.45,62,97,59,2,3,2,0,1
9.12,53,29,26,4,1,3,2,1
6.33,50,22,80,6,1,1,3,0
6.67,84,47,37,9,2,1,2,1
7.58,51,54,79,5,4,3,0,1
9.11,51,83,8,3,1,2,4,0
9.43,73,22,31,9,2,1,0,1
6.53,55,39,0,10,1,2,5,0
7.76,72,63,8,4,2,3,4,0
8.73,0,71,49,7,5,1,1,1
7.08,97,13,70,3,2,3,1,1
8.42,30,86,36,10,4,2,2,1
6.14,20,77,5,9,3,2,5,0
7.9,23,1,36,1,3,2,3,0
8.96,18,3,38,6,2,0,2,1
9.43,60,87,3,1,1,3,2,1
5.82,59,99,48,8,4,2,0,1
7.21,84,8,36,2,4,2,4,0
6.32,24,15,73,7,5,0,0,1
7.3,19,95,9,2,4,0,2,1
7.69,25,31,98,7,1,3,1,1
5.87,6,26,7,9,3,3,0,1
6.69,66,14,22,1,4,2,0,1
9.21,55,67,70,9,3,3,3,1
7.78,71,99,62,8,5,0,4,0
7.33,93,24,65,1,3,1,3,1
8.51,10,14,37,1,1,2,3,0
8.47,71,11,19,9,0,0,0,1
5.69,100,70,30,3,3,0,3,0
8.33,16,99,29,6,4,2,0,1
8.86,71,23,47,9,5,3,2,1
6.16,46,69,88,10,1,2,3,1
8.62,43,40,9,9,1,0,1,1
6.65,63,59,59,5,1,3,3,1
6.73,29,30,80,4,4,0,0,1
8.16,42,20,8,7,5,2,5,0
5.95,15,59,57,2,2,2,0,1
8.16,3,74,31,6,1,3,0,1
9.05,84,79,87,1,3,3,0,1
8.29,49,77,15,9,1,0,2,1
7.26,33,88,11,5,5,1,2,1
7.25,34,13,34,3,5,0,2,0
8.56,63,81,46,3,2,3,2,1
7.76,12,13,16,3,3,2,0,1
5.84,26,23,28,8,3,3,5,0
7.83,71,71,56,6,3,1,1,1
8.76,40,24,35,5,1,1,5,0
6.85,41,97,98,5,1,0,1,1
9.21,28,27,67,1,3,3,2,1
8.5,15,87,6,7,5,2,3,1
7.8,52,17,18,5,2,1,1,1
8.51,45,56,27,8,0,0,3,1
5.82,68,97,85,9,3,3,3,1
8.94,36,41,20,5,2,2,3,1
8.79,59,66,4,8,2,2,1,1
9.14,73,11,48,2,2,2,5,0
6.01,14,35,95,3,3,0,4,0
5.83,20,68,0,10,5,2,1,1
6.05,33,82,63,4,3,3,4,0
7.1,85,75,83,2,0,3,4,0
7.2,85,90,27,3,2,3,0,1
7.75,8,16,43,7,1,1,5,0
5.99,25,42,47,5,4,0,3,0
6.31,76,91,100,3,4,0,5,0
8.75,17,39,11,9,2,0,3,0
7.37,0,21,17,9,4,0,5,0
8.73,22,63,44,4,4,3,5,0
5.53,32,9,50,4,3,2,2,0
7.71,46,5,4,8,3,3,0,1
9.23,94,16,30,10,0,0,4,0
7.83,20,75,65,10,2,1,4,0
6.32,86,62,44,10,4,1,3,1
8.37,79,69,58,10,3,3,1,1
7.02,60,85,72,4,4,1,5,0
8.17,26,49,1,10,4,1,3,1
5.62,100,79,81,1,1,3,4,0
8.04,62,67,55,9,5,1,5,0
5.63,51,24,34,8,2,0,3,0
8.48,63,32,43,9,3,2,1,1
7.39,13,0,24,10,3,1,3,0
5.99,100,78,15,7,1,2,4,0
7.67,46,16,57,8,3,1,2,1
5.77,6,42,40,3,1,1,4,0
8.11,75,57,43,6,2,1,3,1
9.48,27,18,19,5,0,2,2,1
8.58,2,53,58,3,4,0,4,0
7.8,21,82,67,8,0,1,1,1
5.91,84,83,31,6,1,0,1,1
8.3,62,0,83,4,4,1,4,0
8.14,28,86,63,2,4,3,1,1
5.7,19,15,38,6,2,0,2,0
8.67,66,23,14,2,4,0,0,1
7.57,90,83,17,5,4,1,4,0
7.2,84,78,70,7,1,0,3,1
8.65,32,63,66,3,1,2,5,0
7.15,93,57,71,3,1,0,4,0
7.42,47,23,28,5,4,3,5,0
6.23,40,57,71,5,2,2,4,0
6.79,8,100,0,10,1,0,1,1
8.88,47,63,84,5,4,2,1,1
6.25,86,40,44,7,1,1,3,0
7.17,53,32,65,6,2,2,2,1
9.46,22,95,33,7,4,3,2,1
6.45,64,57,20,7,1,2,4,0
9.17,20,55,47,10,2,3,1,1
9.17,31,94,32,6,1,0,2,1
5.87,25,14,56,3,0,0,0,0
7.35,32,64,39,5,4,1,1,1
7.51,59,11,70,6,3,3,2,1
6.75,8,34,14,4,5,2,1,1
5.69,80,36,72,5,4,0,2,1
6.47,69,29,29,8,0,0,1,1
5.88,45,89,43,2,3,3,4,0
6.45,6,10,54,2,3,2,5,0
8.73,6,59,16,8,1,2,2,1
9.08,100,31,38,9,3,1,2,1
5.67,68,1,47,9,4,0,1,1
6.71,32,9,84,1,5,2,4,0
9.42,9,45,2,10,5,3,5,0
7.66,80,21,36,3,2,1,4,0
8.01,27,72,16,6,0,2,3,0
5.52,46,54,80,9,1,3,3,1
7.44,45,58,74,8,2,3,5,0
9.45,21,29,73,8,5,2,5,0
7.0,20,52,64,10,3,1,5,0
5.89,55,88,73,2,1,2,5,0
7.35,31,20,24,10,1,3,0,1
9.35,31,81,15,7,0,0,3,1
6.87,35,19,54,6,0,1,2,0
8.7,30,79,58,9,1,1,1,1
8.7,69,38,31,9,1,2,0,1
